pressurec2,energy_densityc2,baryon_density,cs2c2
2.078039364855270767e+10,1.342362635376248047e+13,1.338097540632621680e+13,1.995451451356847813e-03
3.716869128506964874e+10,2.014883254713336719e+13,2.007146308440000000e+13,2.715914351160269528e-03
5.733103502312812805e+10,2.688029146306614062e+13,2.676195077920000000e+13,3.215485269394380632e-03
8.047850120313504028e+10,3.361721950221549219e+13,3.345243847400000000e+13,3.647945845994570065e-03
1.023340212191631012e+11,3.932711214470551562e+13,3.911862647419986719e+13,3.887439733618937212e-03
1.056934553557981262e+11,4.018928667100864062e+13,3.997396840482425000e+13,3.915213033649476287e-03
1.091631734193612213e+11,4.107118182814168750e+13,4.084880055775496094e+13,3.952681179313357121e-03
1.127467958244932404e+11,4.197353964387017188e+13,4.174385484134728125e+13,3.991331415887072916e-03
1.164480618372676392e+11,4.289615475498017188e+13,4.265892327219438281e+13,4.034967685712978133e-03
1.202708334768506622e+11,4.383802366685712500e+13,4.359300632365606250e+13,4.083077878325196489e-03
1.242190995452599640e+11,4.479915284412103125e+13,4.454610618945997656e+13,4.131647732502442827e-03
1.282969797894134674e+11,4.578039231302737500e+13,4.551906143685985156e+13,4.178834233369170537e-03
1.325087291997945099e+11,4.678263749349528125e+13,4.651275534629207031e+13,4.226391147234485370e-03
1.368587424502496643e+11,4.780593560639321875e+13,4.752723000215812500e+13,4.277159081291710338e-03
1.413515584835378418e+11,4.884983659935509375e+13,4.856203446398214844e+13,4.330480057758721683e-03
1.459918652473967285e+11,4.991470773057895312e+13,4.961752795445931250e+13,4.383870785404878068e-03
1.507845045861045837e+11,5.100131276740854688e+13,5.069446249899803125e+13,4.436849350354815993e-03
1.557344772926112976e+11,5.211028112279640625e+13,5.179345668423468750e+13,4.491033567691791323e-03
1.608469483265340881e+11,5.324159981521839062e+13,5.291449228137732031e+13,4.547779098123290800e-03
1.661272522034283752e+11,5.439523802398315625e+13,5.405753330618579688e+13,4.606098683839295396e-03
1.715808985609978333e+11,5.557168745734934375e+13,5.522306137544919531e+13,4.665055441205718210e-03
1.772135779080339050e+11,5.677140385990304688e+13,5.641152224680465625e+13,4.725005386223636410e-03
1.830311675620599060e+11,5.799471946692906250e+13,5.762323911279492969e+13,4.786265773659026217e-03
1.890397377819215088e+11,5.924194751864698438e+13,5.885851615858930469e+13,4.848650058137379815e-03
1.952455581016835327e+11,6.051353601370262500e+13,6.011779083016988281e+13,4.911815692254331914e-03
2.016551038724728699e+11,6.180999714179154688e+13,6.140156389825010938e+13,4.975313792646750624e-03
2.082750630190505066e+11,6.313204033556878125e+13,6.271053116282099219e+13,5.038651693672976592e-03
2.151123430182134399e+11,6.448046789184456250e+13,6.404548002986567188e+13,5.101925729822391967e-03
2.221740781062860413e+11,6.585597244952645312e+13,6.540708898954778125e+13,5.165480272981585325e-03
2.294676367231921082e+11,6.725920774096070312e+13,6.679599768523855469e+13,5.229134779047323045e-03
2.370006292009322510e+11,6.869099900976181250e+13,6.821301517055900000e+13,5.292832004072956301e-03
2.447809157044410706e+11,7.015206550141832812e+13,6.965884521238296094e+13,5.357610372429979714e-03
2.528166144331478271e+11,7.164269591119295312e+13,7.113376519866073438e+13,5.424757329401639315e-03
2.611161100917448120e+11,7.316292180493996875e+13,7.263779789750071875e+13,5.495287992650267281e-03
2.696880626390653992e+11,7.471247531288554688e+13,7.417066971759971875e+13,5.570497960726636041e-03
2.785414163241738281e+11,7.629066274847495312e+13,7.573168583516853125e+13,5.651988793610866410e-03
2.876854090190575562e+11,7.789631219326742188e+13,7.731967854966604688e+13,5.741755796181637408e-03
2.971295818577285156e+11,7.952760682880678125e+13,7.893284269139464062e+13,5.841713009461063991e-03
3.068837891917605591e+11,8.118231942194835938e+13,8.056896778034779688e+13,5.952796780493930552e-03
3.169582088726090698e+11,8.285816900421003125e+13,8.222579085870265625e+13,6.076678733265398341e-03
3.273633528715233154e+11,8.455211949388107812e+13,8.390030319587017188e+13,6.216584536967084337e-03
3.381100782480637207e+11,8.626031854025606250e+13,8.558869022178457812e+13,6.374151156919232591e-03
3.492095984787236938e+11,8.797916024360454688e+13,8.728738220941542188e+13,6.549307672642707898e-03
3.606734951574008179e+11,8.970527495746287500e+13,8.899304409615856250e+13,6.743000216259936903e-03
3.725137300800152588e+11,9.143509635262220312e+13,9.070214763486418750e+13,6.954238597080225279e-03
3.847426577258459473e+11,9.316630918586273438e+13,9.241240175966904688e+13,7.178962162147993487e-03
