R [km],M [Msun],P_div_c2 [g/cm^3]
1.313053061224489859e+01,1.281110542058290669e+00,6.284880016056185156e+13
1.314714285714285857e+01,1.300222683837277238e+00,6.422642733605361719e+13
1.316883673469387794e+01,1.319533449636719480e+00,6.563425169319067188e+13
1.318636734693877699e+01,1.339106081164521234e+00,6.707293514529462500e+13
1.320628571428571441e+01,1.358922990682042808e+00,6.854315411463204688e+13
1.322575510204081795e+01,1.378914394148212708e+00,7.004559985044535938e+13
1.324065306122449037e+01,1.399146193215776490e+00,7.158097875395779688e+13
1.326183673469387791e+01,1.419597175405332479e+00,7.315001271049801562e+13
1.328287755102040890e+01,1.440166842596170227e+00,7.475343942890953125e+13
1.330234693877551067e+01,1.460939916268042538e+00,7.639201278839501562e+13
1.332291836734694002e+01,1.481898992663965853e+00,7.806650319296803125e+13
1.334116326530612362e+01,1.502843993294539660e+00,7.977769793367103125e+13
1.336414285714285732e+01,1.523943854034094825e+00,8.152640155873312500e+13
1.337969387755102169e+01,1.545201367725258068e+00,8.331343625184478125e+13
1.339997959183673437e+01,1.566419647798275694e+00,8.513964221871926562e+13
1.342183673469387806e+01,1.587822960543431083e+00,8.700587808213285938e+13
1.344183673469387763e+01,1.609391779962226376e+00,8.891302128561856250e+13
1.345665306122449145e+01,1.630965311578606913e+00,9.086196850601412500e+13
1.347483673469387888e+01,1.652687544627903460e+00,9.285363607504926562e+13
1.349855102040816490e+01,1.674560236102603294e+00,9.488896041017406250e+13
1.351977551020408086e+01,1.696326201217962737e+00,9.696889845483456250e+13
1.353544897959183757e+01,1.718024975484232719e+00,9.909442812839360938e+13
1.355673469387755148e+01,1.739608816755707776e+00,1.012665487859197812e+14
1.357348979591836802e+01,1.759521400422346060e+00,1.034862816880486250e+14
1.358534693877551192e+01,1.776752230452336434e+00,1.057546704811490156e+14
1.359579591836734735e+01,1.791273270685139307e+00,1.080727816880106875e+14
1.359665306122449024e+01,1.798648506328758279e+00,1.104417052092872344e+14
1.359387755102040884e+01,1.803263230455695698e+00,1.128625548359351406e+14
1.358883673469387787e+01,1.805163873128422303e+00,1.153364687728785312e+14
1.358273469387755128e+01,1.805353950384466666e+00,1.178646101741598906e+14
1.357165306122449167e+01,1.804857999369432475e+00,1.204481676898135625e+14
1.355910204081632742e+01,1.803923940190200748e+00,1.230883560247337500e+14
1.354195918367347140e+01,1.802792233213120099e+00,1.257864165097879219e+14
1.352812244897959459e+01,1.801599976167671313e+00,1.285436176854488125e+14
1.350942857142857179e+01,1.800365742325893637e+00,1.313612558982244531e+14
1.348991836734694161e+01,1.799177378288270512e+00,1.342406559101541250e+14
1.347124489795918478e+01,1.798031353936275334e+00,1.371831715216727500e+14
1.344967346938775776e+01,1.797005742703329911e+00,1.401901862081195469e+14
1.343195918367347019e+01,1.796114757493912473e+00,1.432631137702070312e+14
1.341091836734694098e+01,1.795368404187091871e+00,1.464033989987427812e+14
