R [km],M [Msun],P_div_c2 [g/cm^3]
9.172030612244898293e+03,7.231435175630086531e-01,2.081221569986339262e+02
9.120253061224490011e+03,7.379657600916649240e-01,2.144526075971667467e+02
9.070597959183674902e+03,7.539929568522504288e-01,2.209756114795900999e+02
9.022851020408163095e+03,7.713194998550128023e-01,2.276970255381679920e+02
8.978510204081634583e+03,7.899136590494906240e-01,2.346228848142262393e+02
8.938526530612245551e+03,8.099742893742827299e-01,2.417594079169130907e+02
8.900848979591837633e+03,8.313934674852645479e-01,2.491130026067788492e+02
8.866928571428572468e+03,8.543431570955960508e-01,2.566902715491949039e+02
8.836577551020407554e+03,8.788084682721972740e-01,2.644980182427719910e+02
8.812810204081633856e+03,9.016794955797293731e-01,2.725432531281027764e+02
8.817638775510204141e+03,8.941021299235577535e-01,2.808331998823172739e+02
8.819544897959183800e+03,8.872153717198590916e-01,2.893753019050950570e+02
8.819818367346939340e+03,8.806982787197948914e-01,2.981772290019673619e+02
8.817726530612244460e+03,8.745950645682295521e-01,3.072468842709003525e+02
8.814597959183674902e+03,8.687516458315126533e-01,3.165924111983520675e+02
8.809089795918367599e+03,8.632290229930351666e-01,3.262222009711670125e+02
8.802204081632653470e+03,8.579493939641458233e-01,3.361449000108764835e+02
8.793553061224489284e+03,8.530222956794121236e-01,3.463694177371734213e+02
8.781708163265306212e+03,8.482874241253309799e-01,3.569049345675229574e+02
8.769414285714286962e+03,8.438538008875081653e-01,3.677609101601030943e+02
8.753663265306122412e+03,8.397733366544654077e-01,3.789470919074667563e+02
8.736420408163265165e+03,8.358890374461137585e-01,3.904735236885559857e+02
8.716263265306122776e+03,8.323539192607040116e-01,4.023505548869293307e+02
8.693642857142858702e+03,8.291491867147241512e-01,4.145888496832911301e+02
8.668897959183674175e+03,8.263324903624956752e-01,4.271993966306776542e+02
8.642328571428572104e+03,8.238514685188079723e-01,4.401935185208874373e+02
8.612038775510203777e+03,8.217870628153064461e-01,4.535828825510186562e+02
8.579120408163265893e+03,8.202219293807653244e-01,4.673795107992463613e+02
8.544559183673469306e+03,8.190632990534202351e-01,4.815957910192350937e+02
8.507304081632653833e+03,8.184008259802261209e-01,4.962444877628913673e+02
8.468740816326531785e+03,8.183151046944215912e-01,5.113387538414326059e+02
8.451440816326532513e+03,8.177174581240501672e-01,5.268921421350671608e+02
8.430424489795919726e+03,8.166988096012675058e-01,5.429186177618943248e+02
8.406869387755103162e+03,8.155325813386097300e-01,5.594325706169377099e+02
8.378648979591836905e+03,8.143788218952274782e-01,5.764488282925879048e+02
8.348500000000000000e+03,8.133271900116578745e-01,5.939826693920356320e+02
8.315642857142858702e+03,8.122514549095026792e-01,6.120498372476696431e+02
8.280153061224489647e+03,8.114943360492218316e-01,6.306665540567405515e+02
8.240873469387755904e+03,8.109231746787705086e-01,6.498495354469888525e+02
8.200381632653061388e+03,8.108038841129867613e-01,6.696160054853222618e+02
8.156818367346939340e+03,8.110188244229700194e-01,6.899837121430018669e+02
8.110134693877552309e+03,8.116294060754274398e-01,7.109709432312431545e+02
8.060738775510204505e+03,8.128305602939791541e-01,7.325965428215230304e+02
8.010079591836735744e+03,8.147126523410870291e-01,7.548799281653431308e+02
7.956767346938776427e+03,8.171590380992607150e-01,7.778411071286490142e+02
7.901989795918367236e+03,8.204112918714647762e-01,8.015006961565404708e+02
7.845028571428572832e+03,8.243287997734415340e-01,8.258799387844263720e+02
7.786932653061225210e+03,8.291784790132368244e-01,8.510007247122246099e+02
7.727967346938776245e+03,8.349697999691642059e-01,8.768856094587426924e+02
7.666624489795919544e+03,8.417261140763798721e-01,9.035578346138929646e+02
7.606026530612245551e+03,8.495695276850162569e-01,9.310413487069075700e+02
7.545438775510204323e+03,8.585758099974981628e-01,9.593608287093146600e+02
7.484426530612245188e+03,8.687497665457918350e-01,9.885417021919573699e+02
7.424536734693878316e+03,8.801690677307510979e-01,1.018610170155975311e+03
7.364512244897960045e+03,8.928785954652895818e-01,1.049593230558226651e+03
7.305751020408163640e+03,9.069680061505775992e-01,1.081518702552289142e+03
7.295834693877552127e+03,9.087882000234075441e-01,1.114415251466788050e+03
7.301348979591837633e+03,9.057146287569951548e-01,1.148312414543511068e+03
7.302504081632653651e+03,9.027105079778982022e-01,1.183240627458377958e+03
7.302061224489796587e+03,9.000197391999141816e-01,1.219231251649109481e+03
7.297693877551020705e+03,8.973778048259456463e-01,1.256316602474121510e+03
7.290632653061225028e+03,8.948838310121395301e-01,1.294529978227915990e+03
7.280987755102041774e+03,8.924200084723852289e-01,1.333905690039058754e+03
7.269120408163265893e+03,8.902758512937205548e-01,1.374479092677536755e+03
7.253561224489796587e+03,8.881917006940368564e-01,1.416286616299197249e+03
7.234644897959184163e+03,8.861615854139130999e-01,1.459365799155757713e+03
7.214875510204082275e+03,8.844094191436621122e-01,1.503755321299738398e+03
7.190700000000000728e+03,8.828558816349939553e-01,1.549495039314631640e+03
7.164226530612245369e+03,8.815647156635710857e-01,1.596626022101425178e+03
7.134526530612245551e+03,8.805096349321501759e-01,1.645190587753660793e+03
7.102604081632654015e+03,8.798791195583623992e-01,1.695232341554121376e+03
7.066489795918367236e+03,8.795587107711673180e-01,1.746796215127245659e+03
7.029526530612245551e+03,8.796009265196331750e-01,1.799928506782476461e+03
6.989022448979592809e+03,8.802219219496408842e-01,1.854676923084697592e+03
6.945024489795919180e+03,8.813580718319625751e-01,1.911090621689136015e+03
6.899308163265306575e+03,8.830777510705836164e-01,1.969220255479173375e+03
6.852159183673469670e+03,8.855407762437019770e-01,2.029118018046678117e+03
6.801336734693878498e+03,8.886741174143386601e-01,2.090837690555750214e+03
6.750244897959183618e+03,8.926273150553095670e-01,2.154434690031882383e+03
6.695746938775510898e+03,8.974476231729264786e-01,2.219966119119952509e+03
6.640910204081633310e+03,9.032461985925575032e-01,2.287490817355704166e+03
6.584285714285715585e+03,9.099721481233408182e-01,2.357069413996727690e+03
6.526946938775511626e+03,9.179232157480209375e-01,2.428764382460450634e+03
6.469310204081633856e+03,9.269573467135963085e-01,2.502640096417916538e+03
6.411581632653062115e+03,9.372308962781004116e-01,2.578762887593803498e+03
6.353300000000000182e+03,9.487645632148812291e-01,2.657201105324506898e+03
6.295067346938776609e+03,9.618034225421855377e-01,2.738025177927857840e+03
6.238377551020407736e+03,9.761731359234340211e-01,2.821307675939470755e+03
6.182963265306122594e+03,9.921038805089793522e-01,2.907123377272575453e+03
6.175316326530612969e+03,9.938151325725653740e-01,2.995549334359816385e+03
6.180689795918367054e+03,9.903420906644965216e-01,3.086664943337274508e+03
6.182736734693878134e+03,9.870590389775959483e-01,3.180552015332919837e+03
6.182440816326531603e+03,9.840755042692684862e-01,3.277294849923382117e+03
6.178979591836735381e+03,9.812331908298883576e-01,3.376980310825088054e+03
6.173667346938776063e+03,9.784977597273788463e-01,3.479697903887695247e+03
6.165497959183674539e+03,9.759226040019840509e-01,3.585539857459817085e+03
6.155630612244898657e+03,9.734913173999901748e-01,3.694601205199302512e+03
6.142269387755102798e+03,9.713279606737471594e-01,3.806979871402284061e+03
6.127322448979592991e+03,9.692613100767210055e-01,3.922776758927715491e+03
6.108283673469387395e+03,9.673556823546428651e-01,4.042095839796309974e+03
6.088312244897959317e+03,9.658692770799131022e-01,4.165044248545184928e+03
6.065816326530612969e+03,9.646248713425894517e-01,4.291732378422157126e+03
6.039242857142858156e+03,9.636102222800410066e-01,4.422273980505897271e+03
6.010748979591837269e+03,9.630120476748190717e-01,4.556786265841059503e+03
5.979871428571428623e+03,9.628578589353002926e-01,4.695390010680062915e+03
5.946679591836735199e+03,9.632759346494750297e-01,4.838209664925957441e+03
5.909687755102041592e+03,9.640675817709809525e-01,4.985373463873893343e+03
5.871663265306122412e+03,9.655694130591828683e-01,5.137013543351338740e+03
5.830500000000000909e+03,9.676717807373779179e-01,5.293266058360555689e+03
5.788377551020407736e+03,9.706795242453448713e-01,5.454271305329836650e+03
5.743953061224489829e+03,9.744217479917561819e-01,5.620173848083188204e+03
5.696565306122449329e+03,9.789962513235255237e-01,5.791122647641758704e+03
5.648312244897959317e+03,9.845471043985782877e-01,5.967271195973310569e+03
5.599161224489796950e+03,9.912503488068239443e-01,6.148777653810017000e+03
5.548787755102041046e+03,9.988932029749982844e-01,6.335804992658254378e+03
5.496751020408163640e+03,1.007866847117891540e+00,6.528521141127846931e+03
5.445173469387756086e+03,1.018196937162713755e+00,6.727099135712336647e+03
5.393559183673469306e+03,1.029801930140983535e+00,6.931717276155400214e+03
5.341189795918367963e+03,1.042914738453258439e+00,7.142559285543118676e+03
5.289487755102040865e+03,1.057544435920624082e+00,7.359814475265770852e+03
5.238600000000000364e+03,1.073706502464434775e+00,7.583677914997190783e+03
5.209938775510204323e+03,1.083206803404780816e+00,7.814350607844541628e+03
5.216304081632652924e+03,1.079375297254850929e+00,8.052039670825469329e+03
5.220065306122449329e+03,1.075779907852467909e+00,8.296958520834914452e+03
5.221146938775510534e+03,1.072487578357014693e+00,8.549327066268384442e+03
5.219840816326531240e+03,1.069372310014230054e+00,8.809371904473990071e+03
5.216630612244898657e+03,1.066294442187118996e+00,9.077326525210222826e+03
5.210287755102041046e+03,1.063380322530988131e+00,9.353431520292377172e+03
5.202995918367347258e+03,1.060633801871700532e+00,9.637934799615795782e+03
5.193079591836734835e+03,1.058125533065730428e+00,9.931091813749801076e+03
