                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "13.3.0"                  "aarch64-macos-25.12.1"                                 "CRMATH"                               "20260225"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      608                  1.0000000000000001E-005                 -4.9999999999999991E+000                  5.0000000000000003E-002                  3.1997475914696690E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.1412603249192644E-001                  1.4514974790364016E-001                  1.0707062978652897E-001                  1.0000000000000000E+000                  2.1412603249192644E-001                  1.4514974790364016E-001                  1.0707062978652897E-001                 -1.9448882167402800E+001                  3.5572782140056668E-020                 -1.9448882167402800E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9448882167402800E+001                  3.5572782140056668E-020                 -1.9448882167402800E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4486570941442802E+000                 -8.8932903067665448E-001                  1.8067445723761005E-001                  2.7756887171639320E+000                  0.0000000000000000E+000                  1.2790644129738350E+001                 -7.8233508415416531E-001                  5.4779115177311963E+000                  6.1639427810492253E-001                  8.6905440756688102E-001                  1.2483701166716108E+000                  7.3809999999999998E-001                  2.4847355459871462E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267173E-003                  6.2849535222501722E-003                  3.6905000000000035E-002                  1.2423677729935731E-002                                        0                                        2 
                                       5                                      608                  7.4416000000000014E-005                 -4.6832750158095005E+000                  5.0000000000000003E-002                  3.1997475914696690E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.1412603249193418E-001                  1.4514974790364016E-001                  1.0707062978672986E-001                  1.0000000000000000E+000                  2.1412603249193418E-001                  1.4514974790364016E-001                  1.0707062978672986E-001                 -1.9448882114937415E+001                  3.5572786437463068E-020                 -1.9448882114937415E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9448882114937415E+001                  3.5572786437463068E-020                 -1.9448882114937415E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4486573921876520E+000                 -8.8932354241404610E-001                  1.8067660528217050E-001                  2.7756844210748106E+000                  0.0000000000000000E+000                  1.2790644137602216E+001                 -7.8233507945643943E-001                  5.4779115206586910E+000                  6.1639427791515300E-001                  8.6905440756688102E-001                  1.2483701166716108E+000                  7.3809999999999998E-001                  2.4847355459871462E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267173E-003                  6.2849535222501722E-003                  3.6905000000000035E-002                  1.2423677729935731E-002                                        0                                        2 
                                      10                                      608                  2.5958682111999997E-004                 -4.2873687855713758E+000                  5.0000000000000003E-002                  3.1997475914696690E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.1412603249195492E-001                  1.4514974790364016E-001                  1.0707062978735027E-001                  1.0000000000000000E+000                  2.1412603249195492E-001                  1.4514974790364016E-001                  1.0707062978735027E-001                 -1.9448881963999909E+001                  3.5572798800660916E-020                 -1.9448881963999909E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9448881963999909E+001                  3.5572798800660916E-020                 -1.9448881963999909E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4486612870412170E+000                 -8.8929569175424827E-001                  1.8068274090493919E-001                  2.7756721498292736E+000                  0.0000000000000000E+000                  1.2790644159943515E+001                 -7.8233506611018777E-001                  5.4779115289757403E+000                  6.1639427737601316E-001                  8.6905440756688102E-001                  1.2483701166716108E+000                  7.3809999999999998E-001                  2.4847355459871462E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267164E-003                  6.2849535222501696E-003                  3.6905000000000028E-002                  1.2423677729935731E-002                                        0                                        2 
                                      15                                      608                  7.2035107872931814E-004                 -3.8914625553332525E+000                  5.0000000000000003E-002                  3.1997475914696690E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.1412603249201387E-001                  1.4514974790364016E-001                  1.0707062978909027E-001                  1.0000000000000000E+000                  2.1412603249201387E-001                  1.4514974790364016E-001                  1.0707062978909027E-001                 -1.9448881589430769E+001                  3.5572829481406203E-020                 -1.9448881589430769E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9448881589430769E+001                  3.5572829481406203E-020                 -1.9448881589430769E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4486821129402041E+000                 -8.8918299507197407E-001                  1.8069743744810182E-001                  2.7756427567429482E+000                  0.0000000000000000E+000                  1.2790644214660681E+001                 -7.8233503342323851E-001                  5.4779115493454515E+000                  6.1639427605557540E-001                  8.6905440756688102E-001                  1.2483701166716108E+000                  7.3809999999999998E-001                  2.4847355459871462E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267173E-003                  6.2849535222501722E-003                  3.6905000000000028E-002                  1.2423677729935731E-002                                        0                                        2 
                                      20                                      608                  1.8668799962237366E-003                 -3.4955563250951283E+000                  5.0000000000000003E-002                  3.1997475914696690E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.1412603249221290E-001                  1.4514974790364016E-001                  1.0707062979466814E-001                  1.0000000000000000E+000                  2.1412603249221290E-001                  1.4514974790364016E-001                  1.0707062979466814E-001                 -1.9448880672011096E+001                  3.5572904626841879E-020                 -1.9448880672011096E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9448880672011096E+001                  3.5572904626841879E-020                 -1.9448880672011096E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4487425360886803E+000                 -8.8887979669596540E-001                  1.8072819033915427E-001                  2.7755812509608431E+000                  0.0000000000000000E+000                  1.2790644347382777E+001                 -7.8233495413774601E-001                  5.4779115987543072E+000                  6.1639427285271031E-001                  8.6905440756688102E-001                  1.2483701166716108E+000                  7.3809999999999998E-001                  2.4847355459871462E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267173E-003                  6.2849535222501722E-003                  3.6905000000000035E-002                  1.2423677729935731E-002                                        0                                        2 
                                      25                                      608                  4.7198108322034473E-003                 -3.0996500948570040E+000                  5.0000000000000003E-002                  3.1997475914696690E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.1412603249323775E-001                  1.4514974790364016E-001                  1.0707062981666560E-001                  1.0000000000000000E+000                  2.1412603249323775E-001                  1.4514974790364016E-001                  1.0707062981666560E-001                 -1.9448878510455877E+001                  3.5573081679492087E-020                 -1.9448878510455877E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9448878510455877E+001                  3.5573081679492087E-020                 -1.9448878510455877E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4488363954220898E+000                 -8.8840962917717625E-001                  1.8077555543172952E-001                  2.7754865207756927E+000                  0.0000000000000000E+000                  1.2790644659071923E+001                 -7.8233476794096102E-001                  5.4779117147877763E+000                  6.1639426533099151E-001                  8.6905440756688102E-001                  1.2483701166716108E+000                  7.3809999999999998E-001                  2.4847355459871462E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267164E-003                  6.2849535222501696E-003                  3.6905000000000035E-002                  1.2423677729935731E-002                                        0                                        5 
                                      30                                      608                  1.1818815689988481E-002                 -2.7037438646188803E+000                  5.0000000000000003E-002                  3.1997475914696690E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.1412603249136486E-001                  1.4514974790364016E-001                  1.0707062987479468E-001                  1.0000000000000000E+000                  2.1412603249136486E-001                  1.4514974790364016E-001                  1.0707062987479468E-001                 -1.9448873799385893E+001                  3.5573467565551769E-020                 -1.9448873799385893E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9448873799385893E+001                  3.5573467565551769E-020                 -1.9448873799385893E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4489164222623896E+000                 -8.8799154790095469E-001                  1.8082454238924092E-001                  2.7753885468606700E+000                  0.0000000000000000E+000                  1.2790645341001346E+001                 -7.8233436057015504E-001                  5.4779119686517523E+000                  6.1639424887459437E-001                  8.6905440756688102E-001                  1.2483701166716108E+000                  7.3809999999999998E-001                  2.4847355459871462E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267173E-003                  6.2849535222501722E-003                  3.6905000000000028E-002                  1.2423677729935731E-002                                        0                                        5 
                                      35                                      608                  2.9483411457712130E-002                 -2.3078376343807561E+000                  5.0000000000000003E-002                  3.1997475914696690E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.6466957281188760E-001                  1.4514974790364016E-001                  1.0707062991477319E-001                  1.0000000000000000E+000                  1.6466957281188760E-001                  1.4514974790364016E-001                  1.0707062991477319E-001                 -1.9448864558871374E+001                  3.5574224472798494E-020                 -1.9448864558871374E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9448864558871374E+001                  3.5574224472798494E-020                 -1.9448864558871374E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4489592149723016E+000                 -8.8774933014265445E-001                  1.8086006584856701E-001                  2.7753174999420178E+000                  0.0000000000000000E+000                  1.2790646710729556E+001                 -7.8233354232238217E-001                  5.4779124785648108E+000                  6.1639421582017917E-001                  8.6905440756688102E-001                  1.2483701166716108E+000                  7.3809999999999998E-001                  2.4847355459871462E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267164E-003                  6.2849535222501696E-003                  3.6905000000000035E-002                  1.2423677729935731E-002                                        0                                        2 
                                      40                                      608                  7.3438578398454232E-002                 -1.9119314041426323E+000                  5.0000000000000003E-002                  3.1997475914696690E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  9.4792051675763905E-002                  6.0075176605324798E-003                  2.4297006324981032E-004                  1.0000000000000000E+000                  9.4792051675763905E-002                  6.0075176605324798E-003                  2.4297006324981032E-004                 -1.9448850392920399E+001                  3.5575384862717908E-020                 -1.9448850392920399E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9448850392920399E+001                  3.5575384862717908E-020                 -1.9448850392920399E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4489749446650548E+000                 -8.8764829312113758E-001                  1.8087912497381833E-001                  2.7752793816915151E+000                  0.0000000000000000E+000                  1.2790648979137160E+001                 -7.8233218722197284E-001                  5.4779133230323511E+000                  6.1639416107881106E-001                  8.6905440756688102E-001                  1.2483701166716108E+000                  7.3809999999999998E-001                  2.4847355459871462E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267173E-003                  6.2849535222501722E-003                  3.6905000000000028E-002                  1.2423677729935731E-002                                        0                                        5 
