                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "13.3.0"                  "aarch64-macos-25.12.1"                                 "CRMATH"                               "20260223"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                     281                                      810                  8.9583670687093277E+009                  7.3764415341675234E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999993587529E-001                  9.8685885833365417E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999993587529E-001                  9.8685885833365417E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2464277932444923E-001                  1.6774237175184872E+000                  2.2464277932444918E-001                 -3.6391673269701762E+001                 -1.5653559774527022E+001                  2.2464277932444923E-001                  1.6774237175184872E+000                  1.1036687599072934E-001                 -4.1107265033939233E-001                 -3.6391673269701762E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.4479806449952290E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7675356447765567E+000                  2.2461400230317699E-001                  9.9888872462972053E-002                  4.2382898823771891E+000                  0.0000000000000000E+000                  1.7810682751699861E+001                  2.7244425157856171E+000                  7.2811730079167916E+000                  1.3359374888445308E+000                  5.0041324035564361E-001                  4.0302303127875172E+000                  8.2648070911152470E-004                  9.8592405367552871E-001                  3.9571193636495636E-005                  2.0542241821300518E-003                  2.3094118517267169E-003                  6.2849535222501704E-003                  6.4120308015093652E-001                  3.4437240741786423E-001                                        0                                        5 
                                     285                                      817                  9.0740415405343456E+009                  7.3970269856505659E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999992962529E-001                  9.8667213150781341E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992962529E-001                  9.8667213150781341E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3206054216228281E-001                  1.7063202394041503E+000                  2.3206054216228322E-001                 -3.6267310214901897E+001                 -9.8999999999999986E+001                  2.3206054216228281E-001                  1.7063202394041503E+000                  1.1107067321620046E-001                 -3.8206616689286865E-001                 -3.6267310214901897E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.7354897273196479E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7672905245724513E+000                  2.3202590300347906E-001                  1.0408506322133351E-001                  4.2298975008604653E+000                  0.0000000000000000E+000                  1.7835219290883366E+001                  2.7480676886039923E+000                  7.2815159219906072E+000                  1.3367682902812257E+000                  5.0022710026253714E-001                  4.0347683845465800E+000                  4.5420052442530357E-004                  9.8629686940498251E-001                  3.9678812408995412E-005                  2.0500833523211799E-003                  2.3094118517267169E-003                  6.2849535222501704E-003                  6.3928135622412818E-001                  3.4629334606651091E-001                                        0                                        5 
                                     290                                      818                  9.1826720489576645E+009                  7.3139665129600964E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999992962529E-001                  9.8645511178735334E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992962529E-001                  9.8645511178735334E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3922055932453556E-001                  1.7346847452074694E+000                  2.3922055932453562E-001                 -3.6151497474256914E+001                 -9.8999999999999986E+001                  2.3922055932453556E-001                  1.7346847452074694E+000                  1.1166396631684473E-001                 -3.5507923178935469E-001                 -3.6151497474256914E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.9329894220235794E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7670230477616009E+000                  2.3918036626135100E-001                  1.0819724847197137E-001                  4.2216731303591901E+000                  0.0000000000000000E+000                  1.7859601698904598E+001                  2.7713805017655959E+000                  7.2818561383925964E+000                  1.3372335768858701E+000                  5.0012295373853155E-001                  4.0373118988515753E+000                  2.4590747687497090E-004                  9.8650546851218790E-001                  3.9776171634806492E-005                  2.0477646984483296E-003                  2.3094118517267169E-003                  6.2849535222501696E-003                  6.3744599691088666E-001                  3.4812794111429557E-001                                        0                                        5 
                                     295                                      823                  9.2808515387778015E+009                  7.2798247862187457E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999992962529E-001                  9.8622675656393777E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992962529E-001                  9.8622675656393777E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4584381265913757E-001                  1.7613424927163406E+000                  2.4584381265913779E-001                 -3.6045920576679038E+001                 -9.8999999999999986E+001                  2.4584381265913757E-001                  1.7613424927163406E+000                  1.1203725408433314E-001                 -3.3064998646494631E-001                 -3.6045920576679038E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.2792531588681423E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7667464766200762E+000                  2.4579613570483450E-001                  1.1205827547676145E-001                  4.2139510763496100E+000                  0.0000000000000000E+000                  1.7882724248839811E+001                  2.7933294291747344E+000                  7.2822340706270117E+000                  1.3374808673883762E+000                  5.0006763071932736E-001                  4.0386642983677881E+000                  1.3526143859864619E-004                  9.8661628432485238E-001                  3.9869483211545837E-005                  2.0465309219412351E-003                  2.3094118517267169E-003                  6.2849535222501696E-003                  6.3575992051673069E-001                  3.4981326908920962E-001                                        0                                        5 
                                     300                                      825                  9.3720159256904469E+009                  7.2481946547152374E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999992337529E-001                  9.8597846267347244E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992337529E-001                  9.8597846267347244E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5214307033208089E-001                  1.7870761972871412E+000                  2.5214307033208094E-001                 -3.5946933206131519E+001                 -9.8999999999999986E+001                  2.5214307033208089E-001                  1.7870761972871412E+000                  1.1228197478716850E-001                 -3.0799976737264101E-001                 -3.5946933206131519E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.5023992220790501E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7664582101124280E+000                  2.5208816139970525E-001                  1.1578082133949405E-001                  4.2065059846241448E+000                  0.0000000000000000E+000                  1.7905270790423007E+001                  2.8146200634651759E+000                  7.2826410625830844E+000                  1.3376167861527353E+000                  5.0003723145648971E-001                  4.0394077821829200E+000                  7.4462912962679827E-005                  9.8667718288184214E-001                  3.9960014261684834E-005                  2.0458513801232194E-003                  2.3094118517267169E-003                  6.2849535222501696E-003                  6.3417010537184160E-001                  3.5140231551308515E-001                                        0                                        5 
                                     305                                      832                  9.4568076107354546E+009                  7.2166571945128846E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999992337529E-001                  9.8571981598793779E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992337529E-001                  9.8571981598793779E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5811152954287897E-001                  1.8118053158331202E+000                  2.5811152954287941E-001                 -3.5852320031124059E+001                 -9.8999999999999986E+001                  2.5811152954287897E-001                  1.8118053158331202E+000                  1.1231806891391194E-001                 -2.8679408183798016E-001                 -3.5852320031124059E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.7087974965636705E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7661559963941276E+000                  2.5804893702728621E-001                  1.1936563658988568E-001                  4.1993363541233615E+000                  0.0000000000000000E+000                  1.7927207278440765E+001                  2.8352096713865920E+000                  7.2831037185198761E+000                  1.3376916242557619E+000                  5.0002049531900572E-001                  4.0398171925985071E+000                  4.0990638006464546E-005                  9.8671071687721812E-001                  4.0048952090569951E-005                  2.0454762008177058E-003                  2.3094118517267177E-003                  6.2849535222501704E-003                  6.3266969824818597E-001                  3.5290191391272824E-001                                        0                                        5 
                                     310                                      835                  9.5356576967955761E+009                  7.1851632177348383E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999992337529E-001                  9.8542977155290867E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999992337529E-001                  9.8542977155290867E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6376166006426105E-001                  1.8355307313226485E+000                  2.6376166006426116E-001                 -3.5762476701585776E+001                 -9.8999999999999986E+001                  2.6376166006426105E-001                  1.8355307313226485E+000                  1.1216184200892042E-001                 -2.6692114930392524E-001                 -3.5762476701585776E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.0378551019013997E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7658457144358022E+000                  2.6369106283571125E-001                  1.2280726341074871E-001                  4.1924531004816350E+000                  0.0000000000000000E+000                  1.7948565008506971E+001                  2.8551692066879144E+000                  7.2835930685156018E+000                  1.3377328171361249E+000                  5.0001128353776991E-001                  4.0400425496027728E+000                  2.2567075538458446E-005                  9.8672918006435895E-001                  4.0131319987653629E-005                  2.0452690273845930E-003                  2.3094118517267177E-003                  6.2849535222501704E-003                  6.3125501609049528E-001                  3.5431573641735226E-001                                        0                                        5 
                                     315                                      839                  9.6090313445432873E+009                  7.1541650013316120E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999991400035E-001                  9.8513578207319208E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999991400035E-001                  9.8513578207319208E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6911659795133125E-001                  1.8583032992706336E+000                  2.6911659795133119E-001                 -3.5677593221686472E+001                 -1.5653559774527022E+001                  2.6911659795133125E-001                  1.8583032992706336E+000                  1.1185577794028791E-001                 -2.4830745999656828E-001                 -3.5677593221686472E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.1940100102071304E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7655265109324572E+000                  2.6903766336420715E-001                  1.2611897068168623E-001                  4.1858296859397601E+000                  0.0000000000000000E+000                  1.7969314752250060E+001                  2.8744982416526028E+000                  7.2840866203164989E+000                  1.3377554834943084E+000                  5.0000621456331895E-001                  4.0401665497964432E+000                  1.2429126637321752E-005                  9.8673934420776765E-001                  4.0202688278335258E-005                  2.0451546290682233E-003                  2.3094118517267177E-003                  6.2849535222501704E-003                  6.2992122209929324E-001                  3.5564862181879037E-001                                        0                                        5 
                                     320                                      843                  9.6773969607468185E+009                  7.1235633632459878E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999991400035E-001                  9.8482238596560068E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999991400035E-001                  9.8482238596560068E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7418162903809001E-001                  1.8801029421319249E+000                  2.7418162903808957E-001                 -3.5596266869432839E+001                 -1.4699317265087696E+001                  2.7418162903809001E-001                  1.8801029421319249E+000                  1.1138359849292075E-001                 -2.3081277711664233E-001                 -3.5596266869432839E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.3433881471404534E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7652031427363739E+000                  2.7409316097676961E-001                  1.2929345588013291E-001                  4.1794807155428675E+000                  0.0000000000000000E+000                  1.7989530334353365E+001                  2.8932574603903842E+000                  7.2846007869321001E+000                  1.3377679624738976E+000                  5.0000342357318628E-001                  4.0402348141623037E+000                  6.8471463724591581E-006                  9.8674494396872747E-001                  4.0261955015803546E-005                  2.0450914058340016E-003                  2.3094118517267182E-003                  6.2849535222501704E-003                  6.2866293296507247E-001                  3.5690595019726101E-001                                        0                                        5 
