                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "13.3.0"                  "aarch64-macos-25.12.1"                                 "CRMATH"                               "20260223"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      534                  1.0000000000000001E-005                 -4.9999999999999991E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999854278283118E-001                  3.0776679011763553E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999854278283118E-001                  3.0776679011763553E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4165214099682808E+001                  6.8357457373751307E-015                 -1.4165214099682808E+001                 -9.8999999999999986E+001                 -2.9801969570734137E+001                 -1.4165214099682808E+001                  6.8357457373751307E-015                 -1.4165214099682808E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6506916674031715E+000                  3.2617597242660366E+000                  1.8521496881911730E+000                  1.6368582379127308E+000                  0.0000000000000000E+000                  1.0406385292145265E+001                 -3.6647157287762626E+000                  5.9126093278292666E+000                  6.0333509699473931E-001                  8.6905440756688102E-001                  1.2483701166716108E+000                  7.3810000000000009E-001                  2.4847355459871462E-001                  2.3094118517267169E-003                  6.2849535222501704E-003                  2.3094118517267169E-003                  6.2849535222501704E-003                  5.9047999999999954E+000                  1.9877884367897172E+000                                        0                                        2 
                                       5                                      535                  7.4416000000000014E-005                 -4.6832750158095005E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999854278283118E-001                  2.6851564862296659E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999854278283118E-001                  2.6851564862296659E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4165214040369825E+001                  6.8357466709548030E-015                 -1.4165214040369825E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4165214040369825E+001                  6.8357466709548030E-015                 -1.4165214040369825E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6507743574524318E+000                  3.2620907137965398E+000                  1.8521498028579031E+000                  1.6368580085792706E+000                  0.0000000000000000E+000                  1.0406385309122319E+001                 -3.6647157158281471E+000                  5.9126093318894899E+000                  6.0333509699027221E-001                  8.6905440756688102E-001                  1.2483701166716108E+000                  7.3810000000000009E-001                  2.4847355459871462E-001                  2.3094118517267169E-003                  6.2849535222501704E-003                  2.3094118517267169E-003                  6.2849535222501704E-003                  5.9047999999999954E+000                  1.9877884367897172E+000                                        0                                        2 
                                      10                                      534                  2.5958682111999997E-004                 -4.2873687855713758E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999854278283107E-001                  2.6851937675383818E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999854278283107E-001                  2.6851937675383818E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4165213867453760E+001                  6.8357493926348980E-015                 -1.4165213867453760E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4165213867453760E+001                  6.8357493926348980E-015                 -1.4165213867453760E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6507629344074397E+000                  3.2620447864730862E+000                  1.8521496852861603E+000                  1.6368582437227561E+000                  0.0000000000000000E+000                  1.0406385358414752E+001                 -3.6647156783022443E+000                  5.9126093437359808E+000                  6.0333509697720600E-001                  8.6905440756688079E-001                  1.2483701166716104E+000                  7.3809999999999998E-001                  2.4847355459871454E-001                  2.3094118517267164E-003                  6.2849535222501687E-003                  2.3094118517267164E-003                  6.2849535222501696E-003                  5.9047999999999945E+000                  1.9877884367897172E+000                                        0                                        2 
                                      15                                      535                  7.2035107872931814E-004                 -3.8914625553332525E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999854278283118E-001                  2.6852925978605863E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999854278283118E-001                  2.6852925978605863E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4165213437670335E+001                  6.8357561573840926E-015                 -1.4165213437670335E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4165213437670335E+001                  6.8357561573840926E-015                 -1.4165213437670335E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6507566147978174E+000                  3.2620192307051630E+000                  1.8521495466214435E+000                  1.6368585210521893E+000                  0.0000000000000000E+000                  1.0406385481054482E+001                 -3.6647155849355326E+000                  5.9126093732082659E+000                  6.0333509694470056E-001                  8.6905440756688102E-001                  1.2483701166716108E+000                  7.3810000000000009E-001                  2.4847355459871462E-001                  2.3094118517267169E-003                  6.2849535222501704E-003                  2.3094118517267169E-003                  6.2849535222501704E-003                  5.9047999999999954E+000                  1.9877884367897172E+000                                        0                                        2 
                                      20                                      534                  1.8668799962237366E-003                 -3.4955563250951283E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999854278283107E-001                  2.6855766305994112E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999854278283107E-001                  2.6855766305994112E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4165212368777089E+001                  6.8357729816885131E-015                 -1.4165212368777089E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4165212368777089E+001                  6.8357729816885131E-015                 -1.4165212368777089E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6507516895061678E+000                  3.2619990959162344E+000                  1.8521493298102782E+000                  1.6368589546745200E+000                  0.0000000000000000E+000                  1.0406385786204694E+001                 -3.6647153526196656E+000                  5.9126094465387942E+000                  6.0333509686382458E-001                  8.6905440756688079E-001                  1.2483701166716104E+000                  7.3809999999999998E-001                  2.4847355459871454E-001                  2.3094118517267164E-003                  6.2849535222501687E-003                  2.3094118517267164E-003                  6.2849535222501696E-003                  5.9047999999999945E+000                  1.9877884367897172E+000                                        0                                        2 
                                      25                                      535                  4.7198108322034473E-003                 -3.0996500948570040E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999854278283118E-001                  2.6865235607596412E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999854278283118E-001                  2.6865235607596412E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4165209704553416E+001                  6.8358149165618026E-015                 -1.4165209704553416E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4165209704553416E+001                  6.8358149165618026E-015                 -1.4165209704553416E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6507473804709734E+000                  3.2619811303889303E+000                  1.8521489651170149E+000                  1.6368596840610468E+000                  0.0000000000000000E+000                  1.0406386544637877E+001                 -3.6647147750902938E+000                  5.9126096286951286E+000                  6.0333509666298135E-001                  8.6905440756688102E-001                  1.2483701166716108E+000                  7.3810000000000009E-001                  2.4847355459871462E-001                  2.3094118517267169E-003                  6.2849535222501704E-003                  2.3094118517267169E-003                  6.2849535222501704E-003                  5.9047999999999954E+000                  1.9877884367897172E+000                                        0                                        2 
                                      30                                      534                  1.1818815689988481E-002                 -2.7037438646188803E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999854278283107E-001                  2.6903633545222051E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999854278283107E-001                  2.6903633545222051E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4165203037109166E+001                  6.8359198632434309E-015                 -1.4165203037109166E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4165203037109166E+001                  6.8359198632434309E-015                 -1.4165203037109166E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6507450145786620E+000                  3.2619703841918115E+000                  1.8521483238030789E+000                  1.6368609666889187E+000                  0.0000000000000000E+000                  1.0406388426136683E+001                 -3.6647133415777491E+000                  5.9126100799145682E+000                  6.0333509616584435E-001                  8.6905440756688079E-001                  1.2483701166716104E+000                  7.3809999999999998E-001                  2.4847355459871454E-001                  2.3094118517267164E-003                  6.2849535222501687E-003                  2.3094118517267164E-003                  6.2849535222501696E-003                  5.9047999999999945E+000                  1.9877884367897172E+000                                        0                                        2 
                                      35                                      535                  2.9483411457712130E-002                 -2.3078376343807561E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999854278283118E-001                  2.7077144048122198E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999854278283118E-001                  2.7077144048122198E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4165186311830157E+001                  6.8361831290074189E-015                 -1.4165186311830157E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4165186311830157E+001                  6.8361831290074189E-015                 -1.4165186311830157E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6507442708162667E+000                  3.2619648075928791E+000                  1.8521470230284032E+000                  1.6368635682382704E+000                  0.0000000000000000E+000                  1.0406393090216891E+001                 -3.6647097855568118E+000                  5.9126111963787826E+000                  6.0333509493692183E-001                  8.6905440756688102E-001                  1.2483701166716108E+000                  7.3810000000000009E-001                  2.4847355459871462E-001                  2.3094118517267169E-003                  6.2849535222501704E-003                  2.3094118517267169E-003                  6.2849535222501704E-003                  5.9047999999999954E+000                  1.9877884367897172E+000                                        0                                        2 
                                      40                                      534                  7.3438578398454232E-002                 -1.9119314041426323E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999854278283107E-001                  2.7727616890916060E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999854278283107E-001                  2.7727616890916060E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4165144385997156E+001                  6.8368431109300460E-015                 -1.4165144385997156E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4165144385997156E+001                  6.8368431109300460E-015                 -1.4165144385997156E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6507443808447571E+000                  3.2619592678200759E+000                  1.8521440330850214E+000                  1.6368695481250337E+000                  0.0000000000000000E+000                  1.0406404660415632E+001                 -3.6647009591696507E+000                  5.9126139618258060E+000                  6.0333509189525958E-001                  8.6905440756688079E-001                  1.2483701166716104E+000                  7.3809999999999998E-001                  2.4847355459871454E-001                  2.3094118517267164E-003                  6.2849535222501687E-003                  2.3094118517267164E-003                  6.2849535222501696E-003                  5.9047999999999945E+000                  1.9877884367897172E+000                                        0                                        2 
