                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r25.12.1"                               "gfortran"                                 "13.3.0"                  "aarch64-macos-25.12.1"                                 "CRMATH"                               "20260225"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      584                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000001E-001                  3.2298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  6.7528546133495931E-002                  7.4211021944374234E-003                  2.4017036062770782E-004                  1.0000000000000000E+000                  6.7528546133495931E-002                  7.4211021944374234E-003                  2.4017036062770782E-004                 -1.9760481110363685E+001                  1.7358767631806036E-020                 -1.9760481110363685E+001                 -9.8999999999999986E+001                 -3.5521539488349781E+001                 -1.9760481110363685E+001                  1.7358767631806036E-020                 -1.9760481110363685E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4600467332912310E+000                 -2.4825980088852390E-001                  4.7842979383777379E-001                  2.4812080396275853E+000                  0.0000000000000000E+000                  1.2258231189647701E+001                 -1.3295846279539072E+000                  5.4784604332465348E+000                  6.0853683780156853E-001                  8.6905440756688102E-001                  1.2483701166716110E+000                  7.3809999999999987E-001                  2.4847355459871467E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267169E-003                  6.2849535222501722E-003                  7.3809999999999973E-002                  2.4847355459871455E-002                                        0                                        2 
                                       5                                      584                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000001E-001                  3.2298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  6.7528546133463901E-002                  7.4211021944374234E-003                  2.4017034161345400E-004                  1.0000000000000000E+000                  6.7528546133463901E-002                  7.4211021944374234E-003                  2.4017034161345400E-004                 -1.9760481014097131E+001                  1.7358771479584431E-020                 -1.9760481014097131E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9760481014097131E+001                  1.7358771479584431E-020                 -1.9760481014097131E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4600662694282800E+000                 -2.4817389680409793E-001                  4.7843367360588857E-001                  2.4812002800913557E+000                  0.0000000000000000E+000                  1.2258231211284885E+001                 -1.3295846149734194E+000                  5.4784604414289459E+000                  6.0853683759483568E-001                  8.6905440756688102E-001                  1.2483701166716110E+000                  7.3809999999999987E-001                  2.4847355459871467E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267169E-003                  6.2849535222501722E-003                  7.3809999999999973E-002                  2.4847355459871455E-002                                        0                                        2 
                                      10                                      584                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000001E-001                  3.2298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  6.7528546133373293E-002                  7.4211021944374234E-003                  2.4017034935134486E-004                  1.0000000000000000E+000                  6.7528546133373293E-002                  7.4211021944374234E-003                  2.4017034935134486E-004                 -1.9760480736497168E+001                  1.7358782575271963E-020                 -1.9760480736497168E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9760480736497168E+001                  1.7358782575271963E-020                 -1.9760480736497168E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4601189223407891E+000                 -2.4794177301396059E-001                  4.7844442967593909E-001                  2.4811787679512549E+000                  0.0000000000000000E+000                  1.2258231272455919E+001                 -1.3295845782759570E+000                  5.4784604645616621E+000                  6.0853683701037564E-001                  8.6905440756688102E-001                  1.2483701166716110E+000                  7.3809999999999987E-001                  2.4847355459871467E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267164E-003                  6.2849535222501696E-003                  7.3809999999999973E-002                  2.4847355459871455E-002                                        0                                        2 
                                      15                                      584                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000001E-001                  3.2298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  6.1949385445418177E-002                  7.4211021944374234E-003                  2.4017037239145169E-004                  1.0000000000000000E+000                  6.1949385445418177E-002                  7.4211021944374234E-003                  2.4017037239145169E-004                 -1.9760480046183257E+001                  1.7358810167191959E-020                 -1.9760480046183257E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9760480046183257E+001                  1.7358810167191959E-020                 -1.9760480046183257E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4602333039537729E+000                 -2.4743558781719047E-001                  4.7846875904835584E-001                  2.4811301092064215E+000                  0.0000000000000000E+000                  1.2258231421564924E+001                 -1.3295844888231547E+000                  5.4784605209494117E+000                  6.0853683558570981E-001                  8.6905440756688102E-001                  1.2483701166716110E+000                  7.3809999999999987E-001                  2.4847355459871467E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267169E-003                  6.2849535222501722E-003                  7.3809999999999973E-002                  2.4847355459871455E-002                                        0                                        3 
                                      20                                      584                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000001E-001                  3.2298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  6.1949378564158039E-002                  7.4211021944374234E-003                  2.4017049838458593E-004                  1.0000000000000000E+000                  6.1949378564158039E-002                  7.4211021944374234E-003                  2.4017049838458593E-004                 -1.9760478354726239E+001                  1.7358877775093322E-020                 -1.9760478354726239E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9760478354726239E+001                  1.7358877775093322E-020                 -1.9760478354726239E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4604503503222896E+000                 -2.4647176280406888E-001                  4.7851657881788306E-001                  2.4810344696673670E+000                  0.0000000000000000E+000                  1.2258231781836786E+001                 -1.3295842726905032E+000                  5.4784606571915093E+000                  6.0853683214348342E-001                  8.6905440756688102E-001                  1.2483701166716110E+000                  7.3809999999999987E-001                  2.4847355459871467E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267169E-003                  6.2849535222501722E-003                  7.3809999999999973E-002                  2.4847355459871455E-002                                        0                                        2 
                                      25                                      584                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000001E-001                  3.2298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  5.6480499603333983E-002                  7.4211021944374234E-003                  2.4017333193318858E-004                  1.0000000000000000E+000                  5.6480499603333983E-002                  7.4211021944374234E-003                  2.4017333193318858E-004                 -1.9760474391859507E+001                  1.7359036172761147E-020                 -1.9760474391859507E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9760474391859507E+001                  1.7359036172761147E-020                 -1.9760474391859507E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4607440648888836E+000                 -2.4515370150991794E-001                  4.7858818033177158E-001                  2.4808912666395897E+000                  0.0000000000000000E+000                  1.2258232634926360E+001                 -1.3295837609089365E+000                  5.4784609797999142E+000                  6.0853682399262388E-001                  8.6905440756688102E-001                  1.2483701166716110E+000                  7.3809999999999987E-001                  2.4847355459871467E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267164E-003                  6.2849535222501696E-003                  7.3809999999999973E-002                  2.4847355459871455E-002                                        0                                        3 
                                      30                                      584                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000001E-001                  3.2298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  5.1131595112384534E-002                  7.4211021944374234E-003                  4.7033185389275213E-004                  1.0000000000000000E+000                  5.1131595112384534E-002                  7.4211021944374234E-003                  4.7033185389275213E-004                 -1.9760465923315316E+001                  1.7359374669344348E-020                 -1.9760465923315316E+001                 -9.8999999999999986E+001                 -3.5521539488349781E+001                 -1.9760465923315316E+001                  1.7359374669344348E-020                 -1.9760465923315316E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4609944998271085E+000                 -2.4400256494789227E-001                  4.7866287873633390E-001                  2.4807418698304651E+000                  0.0000000000000000E+000                  1.2258234556358335E+001                 -1.3295826082124114E+000                  5.4784617064178684E+000                  6.0853680563430357E-001                  8.6905440756688102E-001                  1.2483701166716110E+000                  7.3809999999999987E-001                  2.4847355459871467E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267169E-003                  6.2849535222501722E-003                  7.3809999999999973E-002                  2.4847355459871455E-002                                        0                                        5 
                                      35                                      584                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000001E-001                  3.2298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  3.5917056865577453E-002                  7.4211021944374234E-003                  4.7033185389275213E-004                  1.0000000000000000E+000                  3.5917056865577453E-002                  7.4211021944374234E-003                  4.7033185389275213E-004                 -1.9760450727387070E+001                  1.7359982083064561E-020                 -1.9760450727387070E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9760450727387070E+001                  1.7359982083064561E-020                 -1.9760450727387070E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4611347651534659E+000                 -2.4332632509018806E-001                  4.7872046801247170E-001                  2.4806266912781898E+000                  0.0000000000000000E+000                  1.2258238453074146E+001                 -1.3295802705130568E+000                  5.4784631800190864E+000                  6.0853676840329018E-001                  8.6905440756688102E-001                  1.2483701166716110E+000                  7.3809999999999987E-001                  2.4847355459871467E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267164E-003                  6.2849535222501696E-003                  7.3809999999999973E-002                  2.4847355459871451E-002                                        0                                        2 
                                      40                                      584                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000001E-001                  3.2298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.6604001635709706E-002                  7.4211021944374234E-003                  4.7033185389275213E-004                  1.0000000000000000E+000                  2.6604001635709706E-002                  7.4211021944374234E-003                  4.7033185389275213E-004                 -1.9760428810768808E+001                  1.7360858174556914E-020                 -1.9760428810768808E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.9760428810768808E+001                  1.7360858174556914E-020                 -1.9760428810768808E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4611939087721817E+000                 -2.4301734045601037E-001                  4.7875667309212849E-001                  2.4805542811188759E+000                  0.0000000000000000E+000                  1.2258244886601050E+001                 -1.3295764109424126E+000                  5.4784656129542428E+000                  6.0853670693488293E-001                  8.6905440756688102E-001                  1.2483701166716110E+000                  7.3809999999999987E-001                  2.4847355459871467E-001                  2.3094118517267164E-003                  6.2849535222501713E-003                  2.3094118517267169E-003                  6.2849535222501722E-003                  7.3809999999999973E-002                  2.4847355459871451E-002                                        0                                        5 
